Year,Developed,Developing A,Developing B
2000,37590.91,5309.05,7456.71
2001,38223.14,5458.2,7391.02
2002,38790.28,5658.7,7430.88
2003,39576.86,5939.08,7616.71
2004,40855.53,6310.34,8001.9
2005,41949.22,6696.62,8288.12
2006,43282.69,7171.47,8610.74
2007,44519.29,7725.07,8934.6
2008,44747.52,8080.23,9108.58
2009,42804.95,8385.06,8979.4
2010,43848.41,8995.51,9355.64
2011,44517.62,9478.43,9653.17
2012,44895.76,9930.93,9808.34
2013,45321.93,10404.38,9981.17
2014,45934.27,10889.98,10138.21
2015,46573.51,11367.94,10275.03
2016,47120.31,11882.63,10403.24
2017,48101.32,12450.8,10552.95
2018,49062.81,13042.16,10653.48
2019,49831.33,13504.86,10703.67
2020,47739.73,13190.1,10241.28
2021,50346.52,14094.54,10706.26
2022,51337.92,14602.31,11029.7
2023,52153.56,15263.67,11122.73
2024,52869.13,15814.56,11257.54
2025,53589.81,16372.71,11395
2026,54321.23,16936.71,11534.14
2027,55069.6,17507.34,11675.79
2028,55831.77,18084.19,11820.29
2029,56606.34,18666.47,11967.38
2030,57390.81,19253.14,12116.6
2031,58183.1,19843,12267.43
2032,58981.67,20435.05,12419.56
2033,59787.15,21029.22,12573.17
2034,60600.89,21625.53,12728.5
2035,61424.44,22224.4,12885.93
2036,62259,22826.02,13045.75
2037,63105.6,23430.53,13208.15
2038,63964.96,24038.13,13373.28
2039,64838.16,24649.08,13541.45
2040,65724.74,25263.03,13712.6
2041,66622.55,25878.83,13886.28
2042,67530.15,26495.62,14062.12
2043,68445.97,27112.78,14239.85
2044,69370.52,27730.27,14419.62
2045,70305.14,28347.89,14601.68
2046,71251.14,28965.72,14786.26
2047,72209.91,29583.76,14973.52
2048,73182.8,30202.2,15163.73
2049,74170.9,30820.74,15357.04
2050,75175.26,31439.27,15553.6
2051,76195.66,32057.29,15753.35
2052,77231.91,32674.33,15956.26
2053,78285.65,33290.74,16162.58
2054,79355.8,33906.18,16372.11
2055,80440.5,34519.79,16584.56
2056,81540.6,35131.49,16799.91
2057,82657.39,35741.76,17018.32
2058,83791.32,36350.77,17239.83
2059,84942.18,36958.96,17464.51
2060,86110.34,37567.24,17692.58
2061,87296.73,38176.01,17924.13
2062,88500.52,38785.41,18158.92
2063,89720.46,39395.19,18396.77
2064,90956.98,40005.97,18637.78
2065,92211.15,40618.52,18882.17
2066,93483.68,41233.4,19130.04
2067,94774.78,41850.71,19381.5
2068,96084.65,42471.13,19636.6
2069,97414.22,43095.02,19895.51
2070,98763.98,43722.67,20158.44
2071,100134.66,44354.34,20425.51
2072,101526.25,44990.12,20696.9
2073,102939.13,45630.09,20972.73
2074,104372.68,46273.43,21252.77
2075,105825.19,46919.14,21536.65
2076,107294.83,47566.12,21824.1
2077,108780.62,48214.27,22115.05
2078,110284.13,48863.74,22409.66
2079,111806.28,49514.64,22708.18
2080,113347.9,50167.18,23010.84
2081,114912.76,50822.53,23318.08
2082,116502.59,51481.9,23630.24
2083,118116.61,52145.92,23947.45
2084,119756.02,52814.72,24269.81
2085,121420.37,53488.58,24597.23
2086,123109.2,54167.57,24929.48
2087,124821.77,54851.25,25266.29
2088,126557.25,55539.24,25607.54
2089,128317.35,56232.48,25953.49
2090,130102.73,56931.92,26304.4
2091,131915.31,57638.23,26660.64
2092,133758.63,58351.96,27022.74
2093,135632.37,59073.2,27390.77
2094,137536.41,59801.89,27764.78
2095,139471.57,60538.12,28144.82
2096,141436.8,61281.4,28530.88
2097,143432.57,62031.81,28923.06
2098,145460.24,62789.37,29321.56
2099,147519.76,63553.5,29726.2
