Year,Developed,Developing A,Developing B
2000,20.32,14.41,7.48
2001,20.22,14.58,7.57
2002,20.33,15.46,7.73
2003,20.53,16.65,8.21
2004,20.81,17.7,8.56
2005,20.85,18.67,8.94
2006,20.97,19.81,9.22
2007,21.12,20.65,9.45
2008,20.65,21.31,9.79
2009,19.3,21.99,9.93
2010,19.98,23.04,10.44
2011,20.02,24.43,10.67
2012,19.8,25.04,11.17
2013,19.73,25.36,11.42
2014,19.56,25.82,11.78
2015,19.43,25.77,12.21
2016,19.29,25.72,12.65
2017,19.45,26.19,13.04
2018,19.72,26.87,13.3
2019,19.35,27.49,13.82
2020,17.83,27.21,13.65
2021,18.56,28.29,14.12
2022,18.61,28.6,14.44
2023,17.57,29.07,14.43
2024,17.41,29.14,14.59
2025,17.27,29.23,14.76
2026,17.12,29.33,14.93
2027,16.99,29.44,15.12
2028,16.87,29.56,15.3
2029,16.75,29.69,15.48
2030,16.64,29.81,15.66
2031,16.54,29.94,15.85
2032,16.45,30.05,16.02
2033,16.36,30.16,16.19
2034,16.28,30.27,16.36
2035,16.2,30.38,16.53
2036,16.13,30.48,16.7
2037,16.06,30.56,16.87
2038,16,30.6,17.03
2039,15.94,30.66,17.2
2040,15.89,30.73,17.37
2041,15.84,30.8,17.54
2042,15.8,30.85,17.6
2043,15.76,30.94,17.68
2044,15.72,31.02,17.75
2045,15.68,31.09,17.84
2046,15.64,31.16,17.93
2047,15.61,31.22,18.02
2048,15.58,31.28,18.12
2049,15.55,31.33,18.22
2050,15.52,31.36,18.32
2051,15.5,31.39,18.43
2052,15.47,31.41,18.51
2053,15.45,31.42,18.59
2054,15.43,31.42,18.68
2055,15.41,31.41,18.77
2056,15.39,31.39,18.86
2057,15.37,31.36,18.96
2058,15.35,31.33,19.05
2059,15.33,31.28,19.15
2060,15.32,31.23,19.24
2061,15.31,31.18,19.34
2062,15.3,31.12,19.44
2063,15.29,31.05,19.54
2064,15.28,30.98,19.63
2065,15.27,30.91,19.73
2066,15.27,30.84,19.83
2067,15.27,30.76,19.92
2068,15.27,30.68,20.02
2069,15.27,30.6,20.11
2070,15.27,30.51,20.2
2071,15.28,30.43,20.3
2072,15.28,30.34,20.35
2073,15.29,30.25,20.43
2074,15.3,30.15,20.52
2075,15.31,30.05,20.61
2076,15.33,29.95,20.71
2077,15.34,29.84,20.8
2078,15.36,29.72,20.88
2079,15.38,29.6,20.97
2080,15.39,29.47,21.05
2081,15.41,29.34,21.13
2082,15.43,29.21,21.21
2083,15.45,29.07,21.28
2084,15.48,28.94,21.35
2085,15.5,28.8,21.41
2086,15.52,28.65,21.47
2087,15.55,28.51,21.53
2088,15.58,28.36,21.58
2089,15.61,28.21,21.63
2090,15.63,28.06,21.67
2091,15.66,27.9,21.72
2092,15.69,27.75,21.76
2093,15.72,27.59,21.8
2094,15.75,27.43,21.83
2095,15.79,27.27,21.86
2096,15.82,27.1,21.89
2097,15.85,26.94,21.92
2098,15.89,26.77,21.95
2099,15.92,26.6,21.98
2100,15.96,26.44,22
