Year,Developed,Developing A,Developing B
2000,1.31,3.26,1.6
2001,1.31,3.31,1.63
2002,1.32,3.35,1.67
2003,1.32,3.39,1.7
2004,1.33,3.43,1.74
2005,1.33,3.47,1.78
2006,1.34,3.51,1.82
2007,1.35,3.55,1.86
2008,1.35,3.59,1.89
2009,1.36,3.64,1.94
2010,1.37,3.68,1.98
2011,1.37,3.72,2.02
2012,1.38,3.76,2.06
2013,1.39,3.8,2.1
2014,1.39,3.84,2.15
2015,1.4,3.88,2.19
2016,1.41,3.91,2.24
2017,1.41,3.95,2.28
2018,1.42,3.98,2.33
2019,1.43,4.01,2.37
2020,1.43,4.04,2.41
2021,1.43,4.06,2.46
2022,1.43,4.09,2.5
2023,1.43,4.11,2.55
2024,1.44,4.13,2.6
2025,1.44,4.15,2.64
2026,1.44,4.17,2.69
2027,1.44,4.19,2.74
2028,1.44,4.2,2.79
2029,1.45,4.22,2.83
2030,1.45,4.24,2.88
2031,1.45,4.26,2.93
2032,1.45,4.27,2.97
2033,1.45,4.29,3.02
2034,1.45,4.3,3.07
2035,1.45,4.32,3.12
2036,1.45,4.33,3.16
2037,1.45,4.34,3.21
2038,1.45,4.35,3.26
2039,1.45,4.36,3.3
2040,1.45,4.37,3.35
2041,1.45,4.38,3.4
2042,1.45,4.39,3.44
2043,1.45,4.4,3.49
2044,1.45,4.4,3.53
2045,1.45,4.41,3.58
2046,1.45,4.41,3.62
2047,1.45,4.41,3.67
2048,1.45,4.41,3.71
2049,1.45,4.41,3.76
2050,1.45,4.41,3.8
2051,1.45,4.41,3.84
2052,1.45,4.41,3.89
2053,1.44,4.4,3.93
2054,1.44,4.4,3.97
2055,1.44,4.39,4.01
2056,1.44,4.38,4.05
2057,1.44,4.38,4.09
2058,1.44,4.37,4.13
2059,1.43,4.36,4.17
2060,1.43,4.35,4.21
2061,1.43,4.34,4.25
2062,1.43,4.32,4.28
2063,1.43,4.31,4.32
2064,1.42,4.3,4.36
2065,1.42,4.29,4.39
2066,1.42,4.27,4.43
2067,1.42,4.26,4.46
2068,1.42,4.24,4.5
2069,1.41,4.23,4.53
2070,1.41,4.21,4.56
2071,1.41,4.2,4.59
2072,1.41,4.18,4.62
2073,1.41,4.17,4.66
2074,1.41,4.15,4.68
2075,1.4,4.13,4.71
2076,1.4,4.11,4.74
2077,1.4,4.09,4.77
2078,1.4,4.08,4.8
2079,1.4,4.06,4.82
2080,1.4,4.04,4.85
2081,1.4,4.02,4.87
2082,1.4,4,4.89
2083,1.4,3.97,4.92
2084,1.39,3.95,4.94
2085,1.39,3.93,4.96
2086,1.39,3.91,4.98
2087,1.39,3.89,5
2088,1.39,3.87,5.02
2089,1.39,3.84,5.04
2090,1.39,3.82,5.06
2091,1.39,3.8,5.08
2092,1.39,3.78,5.09
2093,1.39,3.76,5.11
2094,1.39,3.74,5.12
2095,1.38,3.71,5.14
2096,1.38,3.69,5.15
2097,1.38,3.67,5.16
2098,1.38,3.65,5.17
2099,1.38,3.62,5.19
2100,1.38,3.6,5.2
